,Pred Total Confirmed,Total Confirmed
2020-01-30,,1.0
2020-01-31,,1.0
2020-02-01,,1.0
2020-02-02,,2.0
2020-02-03,,3.0
2020-02-04,,3.0
2020-02-05,,3.0
2020-02-06,,3.0
2020-02-07,,3.0
2020-02-08,,3.0
2020-02-09,,3.0
2020-02-10,,3.0
2020-02-11,,3.0
2020-02-12,,3.0
2020-02-13,,3.0
2020-02-14,,3.0
2020-02-15,,3.0
2020-02-16,1721.0,3.0
2020-02-17,1721.0,3.0
2020-02-18,1721.0,3.0
2020-02-19,1721.0,3.0
2020-02-20,1721.0,3.0
2020-02-21,1721.0,3.0
2020-02-22,1721.0,3.0
2020-02-23,1721.0,3.0
2020-02-24,1721.0,3.0
2020-02-25,1721.0,3.0
2020-02-26,1721.0,3.0
2020-02-27,1721.0,3.0
2020-02-28,1721.0,3.0
2020-02-29,1721.0,3.0
2020-03-01,1721.0,3.0
2020-03-02,1721.0,5.0
2020-03-03,1721.0,6.0
2020-03-04,1721.0,28.0
2020-03-05,1722.0,30.0
2020-03-06,1730.0,31.0
2020-03-07,1736.0,34.0
2020-03-08,1742.0,39.0
2020-03-09,1747.0,48.0
2020-03-10,1752.0,63.0
2020-03-11,1758.0,71.0
2020-03-12,1768.0,81.0
2020-03-13,1778.0,91.0
2020-03-14,1788.0,102.0
2020-03-15,1799.0,112.0
2020-03-16,1810.0,126.0
2020-03-17,1822.0,146.0
2020-03-18,1835.0,171.0
2020-03-19,1850.0,198.0
2020-03-20,1870.0,256.0
2020-03-21,1893.0,334.0
2020-03-22,1928.0,403.0
2020-03-23,1979.0,497.0
2020-03-24,2040.0,571.0
2020-03-25,2116.0,657.0
2020-03-26,2197.0,730.0
2020-03-27,2284.0,883.0
2020-03-28,2372.0,1019.0
2020-03-29,2483.0,1139.0
2020-03-30,2610.0,1326.0
2020-03-31,2742.0,1635.0
2020-04-01,2898.0,2059.0
2020-04-02,3110.0,2545.0
2020-04-03,3402.0,3105.0
2020-04-04,3776.0,3684.0
2020-04-05,4235.0,4293.0
2020-04-06,4764.0,4777.0
2020-04-07,5353.0,5350.0
2020-04-08,5947.0,5915.0
2020-04-09,6564.0,6728.0
2020-04-10,7195.0,7599.0
2020-04-11,7910.0,8453.0
2020-04-12,8712.0,9211.0
2020-04-13,9574.0,10454.0
2020-04-14,10453.0,11485.0
2020-04-15,11484.0,12371.0
2020-04-16,12575.0,13432.0
2020-04-17,13664.0,14354.0
2020-04-18,14793.0,15725.0
2020-04-19,15913.0,17305.0
2020-04-20,17155.0,18544.0
2020-04-21,18563.0,20081.0
2020-04-22,19999.0,21373.0
2020-04-23,21537.0,23040.0
2020-04-24,23079.0,24448.0
2020-04-25,24729.0,26283.0
